name,mean_importance,mean_abs_impact,nonzero_frac
post_interval_sec_max,0.026761141933333333,0.2524314733333333,1.0
rate_post_cat_5,0.0110566225,1.11758709e-08,1.0
caption_sent_pos_median,0.0109807989,0.0,0.0
emoji_count_max,0.010980105,4.84287739e-08,1.0
post_interval_sec_mean,0.010964949933333334,0.00011665498233333333,1.0
caption_length_min,0.0109404074,1.31130219e-06,1.0
post_interval_sec_median,0.0109191341,4.97810543e-05,1.0
cat_Unknown,0.0109031713,0.0,0.0
type_image_object,0.01089522195,0.0,0.0
comment_avg_neg_mean,0.0108596645,0.0,0.0
caption_length_max,0.0108502908,1.91479921e-06,1.0
rate_post_cat_4,0.0108374013,0.0,0.0
caption_length_mean,0.0108302832,6.10947609e-07,1.0
comment_avg_neg_min,0.0108054718,9.31322575e-09,0.5
cat_fashion,0.0108029982,0.0,0.0
comment_avg_pos_max,0.01080178,0.0,0.0
comment_avg_pos_median,0.0107594309,0.0,0.0
color_temp_proxy_median,0.0107320026,2.51084566e-06,1.0
rate_post_cat_6,0.0107255857,0.0,0.0
caption_sent_neu_mean,0.0107221408,0.0,0.0
brightness_mean,0.0106893238,4.28408384e-07,1.0
comment_avg_compound_mean,0.0106561054,2.60770321e-08,1.0
caption_sent_compound_min,0.0106461002,0.0,0.0
mention_count_min,0.0106101343,0.0,0.0
